shareholder,type,holding_date,pct_of_shares,shares_amount,change,turnover,symbol,company_name,industry,close_price_amount,close_price_currency,shares_value
Teoh (Mei Yian),Individual Investor,16 Mar 2022,0.7441%,1807229.0,0,-,CNE,MindChamps (CNE),"Personal & Household Products & Services, Personal Services",0.16,SGD ,289156.64
Sasseur Cayman Holding Ltd.,Corporation,14 Jun 2023,56.7585%,702061168.0,"3,174,219",LOW,CRPU,Sasseur Reit (CRPU),"Real Estate, Commercial REITs",5.0,0.69,3510305840.0
Yang (Xue),Individual Investor,14 Jun 2023,0.9000%,11132900.0,0,LOW,CRPU,Sasseur Reit (CRPU),"Real Estate, Commercial REITs",5.0,0.69,55664500.0
iFAST Financial Pte. Ltd.,Corporation,01 Mar 2023,0.7989%,9881600.0,"2,714,700",LOW,CRPU,Sasseur Reit (CRPU),"Real Estate, Commercial REITs",5.0,0.69,49408000.0
Maybank Asset Management Singapore Pte. Ltd.,Investment Advisor/Hedge Fund,30 Apr 2023,0.5949%,7358400.0,0,HIGH,CRPU,Sasseur Reit (CRPU),"Real Estate, Commercial REITs",5.0,0.69,36792000.0
Phillip Capital Management (S) Ltd.,Investment Advisor,31 May 2023,0.4725%,5844295.0,"61,174",LOW,CRPU,Sasseur Reit (CRPU),"Real Estate, Commercial REITs",5.0,0.69,29221475.0
Ong (Bee Huat),Individual Investor,27 Mar 2023,42.3319%,219213298.0,"5,000,000",LOW,CTO,Hong Lai Huat (CTO),"Real Estate, Real Estate Development & Operations",0.066,SGD ,14468077.668000001
Ong (Jia Ming),Individual Investor,21 Mar 2022,3.9780%,20599765.0,0,-,CTO,Hong Lai Huat (CTO),"Real Estate, Real Estate Development & Operations",0.066,SGD ,1359584.49
Ong (Kian Heng),Individual Investor,21 Mar 2022,2.8833%,14931177.0,"14,931,177",-,CTO,Hong Lai Huat (CTO),"Real Estate, Real Estate Development & Operations",0.066,SGD ,985457.682
Wong (Wen Young Winston),Individual Investor,21 Mar 2022,2.6730%,13841850.0,0,-,CTO,Hong Lai Huat (CTO),"Real Estate, Real Estate Development & Operations",0.066,SGD ,913562.1000000001
Ng (Chuen Guan),Individual Investor,21 Mar 2022,2.4110%,12485000.0,"12,485,000",-,CTO,Hong Lai Huat (CTO),"Real Estate, Real Estate Development & Operations",0.066,SGD ,824010.0
Cromwell Singapore Holdings Pte. Ltd.,Corporation,15 Mar 2022,27.3629%,153886856.0,0,-,CWBU,Cromwell Reit EUR (CWBU),"Real Estate, Commercial REITs",0.0,1.56,0.0
Tang (Gordon),Individual Investor,15 Mar 2022,9.0853%,51094956.0,0,-,CWBU,Cromwell Reit EUR (CWBU),"Real Estate, Commercial REITs",0.0,1.56,0.0
Tan (Andrew L.),Individual Investor,15 Mar 2022,7.9533%,44728460.0,0,LOW,CWBU,Cromwell Reit EUR (CWBU),"Real Estate, Commercial REITs",0.0,1.56,0.0
"The Vanguard Group, Inc.",Investment Advisor/Hedge Fund,31 May 2023,1.7904%,10069221.0,"75,200",LOW,CWBU,Cromwell Reit EUR (CWBU),"Real Estate, Commercial REITs",0.0,1.56,0.0
"BlackRock Financial Management, Inc.",Investment Advisor/Hedge Fund,30 Apr 2023,1.2153%,6834647.0,0,LOW,CWBU,Cromwell Reit EUR (CWBU),"Real Estate, Commercial REITs",0.0,1.56,0.0
Cromwell Singapore Holdings Pte. Ltd.,Corporation,15 Mar 2022,27.3629%,153886856.0,0,-,CWCU,Cromwell Reit SGD (CWCU/CROM.SI),"Real Estate, Commercial REITs",0.0,2.32,0.0
Tang (Gordon),Individual Investor,15 Mar 2022,9.0853%,51094956.0,0,-,CWCU,Cromwell Reit SGD (CWCU/CROM.SI),"Real Estate, Commercial REITs",0.0,2.32,0.0
Tan (Andrew L.),Individual Investor,15 Mar 2022,7.9533%,44728460.0,0,LOW,CWCU,Cromwell Reit SGD (CWCU/CROM.SI),"Real Estate, Commercial REITs",0.0,2.32,0.0
"The Vanguard Group, Inc.",Investment Advisor/Hedge Fund,31 May 2023,1.7904%,10069221.0,"75,200",LOW,CWCU,Cromwell Reit SGD (CWCU/CROM.SI),"Real Estate, Commercial REITs",0.0,2.32,0.0
"BlackRock Financial Management, Inc.",Investment Advisor/Hedge Fund,30 Apr 2023,1.2153%,6834647.0,0,LOW,CWCU,Cromwell Reit SGD (CWCU/CROM.SI),"Real Estate, Commercial REITs",0.0,2.32,0.0
Temasek Holdings Pte. Ltd.,Sovereign Wealth Fund,11 May 2023,24.5613%,286487249.0,"22,109,358",LOW,CY6U,CapLand India T (CY6U),"Real Estate, Commercial REITs",1.12,SGD ,320865718.88000005
"Kabouter Management, L.L.C.",Hedge Fund,01 Aug 2022,4.9430%,57655892.0,"-10,669,519",LOW,CY6U,CapLand India T (CY6U),"Real Estate, Commercial REITs",1.12,SGD ,64574599.04000001
MFS Investment Management,Investment Advisor/Hedge Fund,02 Feb 2023,4.7937%,55914700.0,"-2,389,600",LOW,CY6U,CapLand India T (CY6U),"Real Estate, Commercial REITs",1.12,SGD ,62624464.00000001
"Matthews International Capital Management, L.L.C.",Investment Advisor,31 Mar 2023,2.8774%,33562900.0,"-23,132,600",MED,CY6U,CapLand India T (CY6U),"Real Estate, Commercial REITs",1.12,SGD ,37590448.0
"The Vanguard Group, Inc.",Investment Advisor/Hedge Fund,31 May 2023,2.3536%,27453005.0,"264,800",LOW,CY6U,CapLand India T (CY6U),"Real Estate, Commercial REITs",1.12,SGD ,30747365.6
Emby (Christopher Bernard),Individual Investor,19 Jun 2023,30.8678%,25805393.0,0,LOW,CYW,TrickleStar (CYW/TRIC.SI),"Industrial Goods, Electrical Components & Equipment",0.18,SGD ,4644970.74
CircleBright Limited,Corporation,19 Jun 2023,11.0193%,9212133.0,0,LOW,CYW,TrickleStar (CYW/TRIC.SI),"Industrial Goods, Electrical Components & Equipment",0.18,SGD ,1658183.94
Weinbrecht (Harald),Individual Investor,13 Feb 2023,10.3930%,8688500.0,0,LOW,CYW,TrickleStar (CYW/TRIC.SI),"Industrial Goods, Electrical Components & Equipment",0.18,SGD ,1563930.0
Gunananthan (Nithyanantham),Individual Investor,19 Jun 2023,9.3755%,7837923.0,"97,613",LOW,CYW,TrickleStar (CYW/TRIC.SI),"Industrial Goods, Electrical Components & Equipment",0.18,SGD ,1410826.14
Ling (Hee Keat),Individual Investor,19 Jun 2023,4.7947%,4008322.0,"36,000",LOW,CYW,TrickleStar (CYW/TRIC.SI),"Industrial Goods, Electrical Components & Equipment",0.18,SGD ,721497.96
Jardine Strategic Holdings Ltd,Corporation,03 Mar 2022,77.5377%,1049589171.0,0,LOW,D01,DFIRG USD (D01),"Food & Drug Retailing, Food Retail & Distribution",2.8,USD ,2938849678.7999997
First Sentier Investors (Hong Kong) Limited,Investment Advisor,28 Feb 2023,2.2653%,30663945.0,"120,400",LOW,D01,DFIRG USD (D01),"Food & Drug Retailing, Food Retail & Distribution",2.8,USD ,85859046.0
"Seafarer Capital Partners, LLC",Investment Advisor,31 Mar 2023,0.7845%,10619000.0,0,LOW,D01,DFIRG USD (D01),"Food & Drug Retailing, Food Retail & Distribution",2.8,USD ,29733199.999999996
"The Vanguard Group, Inc.",Investment Advisor/Hedge Fund,31 May 2023,0.5894%,7978554.0,"22,100",LOW,D01,DFIRG USD (D01),"Food & Drug Retailing, Food Retail & Distribution",2.8,USD ,22339951.2
MFS Investment Management,Investment Advisor/Hedge Fund,30 Apr 2023,0.4851%,6567109.0,0,LOW,D01,DFIRG USD (D01),"Food & Drug Retailing, Food Retail & Distribution",2.8,USD ,18387905.2
NutriAsia San Miguel Holdings Ltd.,Corporation,07 Jul 2022,61.5208%,1196539958.0,0,-,D03,Del Monte Pac (D03/DMPL.SI),"Food & Beverages, Food Processing",0.194,SGD ,232128751.852
Golden Sunflower International Ltd.,Corporation,07 Jul 2022,9.7554%,189736540.0,0,-,D03,Del Monte Pac (D03/DMPL.SI),"Food & Beverages, Food Processing",0.194,SGD ,36808888.76
Lee Pineapple Company Pte. Ltd.,Corporation,17 Apr 2023,5.4940%,106854000.0,0,-,D03,Del Monte Pac (D03/DMPL.SI),"Food & Beverages, Food Processing",0.194,SGD ,20729676.0
Credit Suisse Asset Management,Investment Advisor/Hedge Fund,31 Oct 2022,1.2166%,23662500.0,0,LOW,D03,Del Monte Pac (D03/DMPL.SI),"Food & Beverages, Food Processing",0.194,SGD ,4590525.0
Wee (Poh Chan Phyllis),Individual Investor,07 Jul 2022,0.8859%,17230000.0,"-210,000",-,D03,Del Monte Pac (D03/DMPL.SI),"Food & Beverages, Food Processing",0.194,SGD ,3342620.0
Temasek Holdings Pte. Ltd.,Sovereign Wealth Fund,10 Feb 2023,28.9839%,749992241.0,"-10,927,116",LOW,D05,DBS (D05),"Banking & Investment Services, Banks",31.29,SGD ,23467257220.89
Capital Research Global Investors,Investment Advisor,31 Mar 2023,2.9710%,76877912.0,"-7,378,400",LOW,D05,DBS (D05),"Banking & Investment Services, Banks",31.29,SGD ,2405509866.48
"The Vanguard Group, Inc.",Investment Advisor/Hedge Fund,31 May 2023,2.0331%,52607642.0,"460,800",LOW,D05,DBS (D05),"Banking & Investment Services, Banks",31.29,SGD ,1646093118.18
"BlackRock Institutional Trust Company, N.A.",Investment Advisor,31 May 2023,1.5121%,39126217.0,"1,064,600",LOW,D05,DBS (D05),"Banking & Investment Services, Banks",31.29,SGD ,1224259329.93
Norges Bank Investment Management (NBIM),Sovereign Wealth Fund,31 Dec 2022,1.3742%,35559800.0,"830,538",LOW,D05,DBS (D05),"Banking & Investment Services, Banks",31.29,SGD ,1112666142.0
Lippo Karawaci Tbk PT,Corporation,09 Mar 2023,47.4501%,3652141233.0,"23,473,967",-,D5IU,Lippo Malls Tr (D5IU/LMRT.SI),"Real Estate, Commercial REITs",6.0,0.01,21912847398.0
Tokyo Century Corp,Corporation,09 Mar 2023,11.3672%,874912770.0,0,LOW,D5IU,Lippo Malls Tr (D5IU/LMRT.SI),"Real Estate, Commercial REITs",6.0,0.01,5249476620.0
Norges Bank Investment Management (NBIM),Sovereign Wealth Fund,31 Dec 2022,1.2205%,93942321.0,"-1,780,079",LOW,D5IU,Lippo Malls Tr (D5IU/LMRT.SI),"Real Estate, Commercial REITs",6.0,0.01,563653926.0
"Dimensional Fund Advisors, L.P.",Investment Advisor/Hedge Fund,30 Apr 2023,0.7543%,58056876.0,0,LOW,D5IU,Lippo Malls Tr (D5IU/LMRT.SI),"Real Estate, Commercial REITs",6.0,0.01,348341256.0
iFAST Financial Pte. Ltd.,Corporation,09 Mar 2023,0.5212%,40119240.0,"5,321,700",LOW,D5IU,Lippo Malls Tr (D5IU/LMRT.SI),"Real Estate, Commercial REITs",6.0,0.01,240715440.0
FSL Holdings Pte. Ltd.,Corporation,17 Mar 2023,72.6035%,1283671008.0,0,-,D8DU,FSL Trust (D8DU),"Transportation, Marine Freight & Logistics",0.072,SGD ,92424312.57599999
Ng (Hwee Koon),Individual Investor,17 Mar 2023,1.1349%,20066400.0,0,LOW,D8DU,FSL Trust (D8DU),"Transportation, Marine Freight & Logistics",0.072,SGD ,1444780.7999999998
Tan (Siew Keng Christina),Individual Investor,17 Mar 2023,0.4474%,7910000.0,"100,000",-,D8DU,FSL Trust (D8DU),"Transportation, Marine Freight & Logistics",0.072,SGD ,569520.0
iFAST Financial Pte. Ltd.,Corporation,17 Mar 2023,0.3112%,5502900.0,"-197,200",LOW,D8DU,FSL Trust (D8DU),"Transportation, Marine Freight & Logistics",0.072,SGD ,396208.8
Peh (Kok Keong),Individual Investor,17 Mar 2023,0.2998%,5300000.0,"5,300,000",-,D8DU,FSL Trust (D8DU),"Transportation, Marine Freight & Logistics",0.072,SGD ,381600.0
"Digital Realty Trust, L.P",Corporation,28 Feb 2023,35.6346%,398765141.0,"2,443,769",LOW,DCRU,DigiCore Reit USD (DCRU),"Real Estate, Specialized REITs",5.0,0.46,1993825705.0
"Sumitomo Mitsui DS Asset Management Company, Limited",Investment Advisor/Hedge Fund,15 Jun 2023,7.0104%,78449200.0,0,LOW,DCRU,DigiCore Reit USD (DCRU),"Real Estate, Specialized REITs",5.0,0.46,392246000.0
APG Asset Management N.V.,Pension Fund,28 Feb 2023,6.9355%,77610791.0,0,LOW,DCRU,DigiCore Reit USD (DCRU),"Real Estate, Specialized REITs",5.0,0.46,388053955.0
Daiwa Securities Group Inc,Holding Company,28 Feb 2023,1.9278%,21572583.0,"8,529,100",LOW,DCRU,DigiCore Reit USD (DCRU),"Real Estate, Specialized REITs",5.0,0.46,107862915.0
"The Vanguard Group, Inc.",Investment Advisor/Hedge Fund,31 May 2023,1.7699%,19805537.0,"-12,800",LOW,DCRU,DigiCore Reit USD (DCRU),"Real Estate, Specialized REITs",5.0,0.46,99027685.0
Daiwa House Industry Co Ltd,Corporation,08 Dec 2022,12.4264%,86283666.0,"17,535,066",LOW,DHLU,Daiwa Hse Log Tr (DHLU),"Real Estate, Commercial REITs",0.0,0.61,0.0
Metro Holdings Ltd,Corporation,26 Nov 2021,7.4350%,51625000.0,"51,625,000",-,DHLU,Daiwa Hse Log Tr (DHLU),"Real Estate, Commercial REITs",0.0,0.61,0.0
Hazelview Securities Inc.,Investment Advisor,09 Feb 2022,4.8379%,33592200.0,"-6,791,400",LOW,DHLU,Daiwa Hse Log Tr (DHLU),"Real Estate, Commercial REITs",0.0,0.61,0.0
"RM Capital Markets, Ltd.",Investment Advisor,30 Apr 2023,1.7282%,12000000.0,0,LOW,DHLU,Daiwa Hse Log Tr (DHLU),"Real Estate, Commercial REITs",0.0,0.61,0.0
Aberdeen Standard Investments (Edinburgh),Investment Advisor,31 May 2023,1.4832%,10299000.0,0,LOW,DHLU,Daiwa Hse Log Tr (DHLU),"Real Estate, Commercial REITs",0.0,0.61,0.0
Goi (Seng Hui Sam),Individual Investor,04 May 2023,28.8623%,164802904.0,0,LOW,DM0,PSC Corporation (DM0),"Applied Resources, Paper Packaging",0.345,SGD ,56857001.879999995
Violet Profit Holdings Ltd.,Corporation,10 Mar 2022,23.4874%,134112551.0,0,-,DM0,PSC Corporation (DM0),"Applied Resources, Paper Packaging",0.345,SGD ,46268830.095
Sin Huat Company Ltd.,Corporation,10 Mar 2022,11.9090%,68000000.0,0,-,DM0,PSC Corporation (DM0),"Applied Resources, Paper Packaging",0.345,SGD ,23460000.0
"Dimensional Fund Advisors, L.P.",Investment Advisor/Hedge Fund,31 Mar 2023,0.9626%,5496162.0,0,LOW,DM0,PSC Corporation (DM0),"Applied Resources, Paper Packaging",0.345,SGD ,1896175.89
Representations International Hong Kong Ltd.,Corporation,10 Mar 2022,0.7088%,4047300.0,"4,047,300",-,DM0,PSC Corporation (DM0),"Applied Resources, Paper Packaging",0.345,SGD ,1396318.5
Saw (Tatt Ghee),Individual Investor,24 Feb 2023,26.4316%,65021700.0,"-3,500,000",LOW,DRX,ST Group Food (DRX),"Cyclical Consumer Services, Restaurants & Bars",0.162,SGD ,10533515.4
Caprice Development (S) Pte. Ltd.,Corporation,15 Sep 2022,6.4049%,15756000.0,0,-,DRX,ST Group Food (DRX),"Cyclical Consumer Services, Restaurants & Bars",0.162,SGD ,2552472.0
Chen (Khai Voon),Individual Investor,24 Feb 2023,6.3198%,15546700.0,"15,546,700",LOW,DRX,ST Group Food (DRX),"Cyclical Consumer Services, Restaurants & Bars",0.162,SGD ,2518565.4
Saw (Tatt Jin),Individual Investor,24 Feb 2023,5.3129%,13069800.0,0,LOW,DRX,ST Group Food (DRX),"Cyclical Consumer Services, Restaurants & Bars",0.162,SGD ,2117307.6
Tan &amp; Saw Investments Pty Ltd,Corporation,24 Feb 2023,4.3020%,10583000.0,0,LOW,DRX,ST Group Food (DRX),"Cyclical Consumer Services, Restaurants & Bars",0.162,SGD ,1714446.0
Thoresen Thai Agencies PCL,Corporation,21 Jan 2022,58.2248%,822908013.0,0,LOW,DU4,Mermaid Maritime (DU4),"Energy - Fossil Fuels, Oil & Gas Exploration and Productio",0.07,SGD ,57603560.910000004
Mahagitsiri (Chalermchai),Individual Investor,21 Jan 2022,10.6459%,150461660.0,0,LOW,DU4,Mermaid Maritime (DU4),"Energy - Fossil Fuels, Oil & Gas Exploration and Productio",0.07,SGD ,10532316.200000001
Mahagitsiri (Ausana),Individual Investor,21 Jan 2022,4.4992%,63588647.0,"63,588,647",LOW,DU4,Mermaid Maritime (DU4),"Energy - Fossil Fuels, Oil & Gas Exploration and Productio",0.07,SGD ,4451205.29
Mahagitsiri (Prayudh),Individual Investor,21 Jan 2022,3.8973%,55081582.0,"55,081,582",HIGH,DU4,Mermaid Maritime (DU4),"Energy - Fossil Fuels, Oil & Gas Exploration and Productio",0.07,SGD ,3855710.74
iFAST Financial Pte. Ltd.,Corporation,21 Jan 2022,0.3677%,5196700.0,"63,700",LOW,DU4,Mermaid Maritime (DU4),"Energy - Fossil Fuels, Oil & Gas Exploration and Productio",0.07,SGD ,363769.00000000006
China Capital Impetus Asset Management Pte. Ltd,Investment Advisor,22 Jul 2022,29.5619%,1738434549.0,"-1,375,818,000",-,E27,The Place Hldg (E27/THEP.SI),"Holding Companies, Investment Holding Companies",0.008,SGD ,13907476.392
Diamond Era Holdings Ltd.,Corporation,12 Apr 2022,16.4450%,967073639.0,"967,073,639",LOW,E27,The Place Hldg (E27/THEP.SI),"Holding Companies, Investment Holding Companies",0.008,SGD ,7736589.112
World Globe International Ltd.,Corporation,12 Apr 2022,13.4550%,791242068.0,"791,242,068",-,E27,The Place Hldg (E27/THEP.SI),"Holding Companies, Investment Holding Companies",0.008,SGD ,6329936.544
Capital Impetus Group Ltd.,Corporation,24 Mar 2022,1.9232%,113098060.0,0,-,E27,The Place Hldg (E27/THEP.SI),"Holding Companies, Investment Holding Companies",0.008,SGD ,904784.48
Sunny Worldwide International Ltd.,Corporation,24 Mar 2022,1.8427%,108362000.0,0,-,E27,The Place Hldg (E27/THEP.SI),"Holding Companies, Investment Holding Companies",0.008,SGD ,866896.0
Micro Compact (M) Sdn. Bhd.,Corporation,09 Mar 2023,6.1664%,26332206.0,0,LOW,E28,Frencken (E28),"Industrial Goods, Industrial Machinery & Equipment",0.885,SGD ,23304002.31
Precico Holdings Sdn. Bhd.,Corporation,09 Mar 2023,6.1249%,26154870.0,0,LOW,E28,Frencken (E28),"Industrial Goods, Industrial Machinery & Equipment",0.885,SGD ,23147059.95
Sinn Hin Company Sdn. Bhd.,Corporation,09 Mar 2023,4.8567%,20739500.0,0,LOW,E28,Frencken (E28),"Industrial Goods, Industrial Machinery & Equipment",0.885,SGD ,18354457.5
Cayman Resources Sdn. Bhd.,Corporation,09 Mar 2023,3.3926%,14487445.0,0,LOW,E28,Frencken (E28),"Industrial Goods, Industrial Machinery & Equipment",0.885,SGD ,12821388.825
Meng Tak Corporation Sdn. Bhd.,Corporation,20 Oct 2022,3.3549%,14326300.0,"882,300",-,E28,Frencken (E28),"Industrial Goods, Industrial Machinery & Equipment",0.885,SGD ,12678775.5
GSC Holdings Pte. Ltd.,Corporation,05 Dec 2022,37.3067%,349159000.0,0,-,E3B,Wee Hur (E3B),"Industrial & Commercial Services, Construction & Engineering",0.195,SGD ,68086005.0
Goh (Yeow Lian),Individual Investor,05 Dec 2022,6.4214%,60098872.0,"1,000,000",-,E3B,Wee Hur (E3B),"Industrial & Commercial Services, Construction & Engineering",0.195,SGD ,11719280.040000001
Goh (Yeo Hwa),Individual Investor,05 Dec 2022,5.1616%,48308157.0,"2,783,800",-,E3B,Wee Hur (E3B),"Industrial & Commercial Services, Construction & Engineering",0.195,SGD ,9420090.615
Goh (Yeu Toh),Individual Investor,18 Mar 2022,4.1399%,38745957.0,0,-,E3B,Wee Hur (E3B),"Industrial & Commercial Services, Construction & Engineering",0.195,SGD ,7555461.615
Sua (Nam Heng),Individual Investor,18 Mar 2022,3.2500%,30417257.0,"30,417,257",-,E3B,Wee Hur (E3B),"Industrial & Commercial Services, Construction & Engineering",0.195,SGD ,5931365.115
Golden Moment Ltd.,Corporation,10 Mar 2023,23.9142%,3070000000.0,0,LOW,E5H,Golden Agri-Res (E5H),"Food & Beverages, Food Processing",0.255,SGD ,782850000.0
Massingham International Ltd.,Corporation,10 Mar 2023,15.8301%,2032197897.0,0,LOW,E5H,Golden Agri-Res (E5H),"Food & Beverages, Food Processing",0.255,SGD ,518210463.735
"Silchester International Investors, L.L.P.",Investment Advisor/Hedge Fund,10 Mar 2023,10.8248%,1389641800.0,0,LOW,E5H,Golden Agri-Res (E5H),"Food & Beverages, Food Processing",0.255,SGD ,354358659.0
Ascent Wealth Investment Ltd.,Corporation,10 Mar 2023,8.1791%,1050000000.0,0,LOW,E5H,Golden Agri-Res (E5H),"Food & Beverages, Food Processing",0.255,SGD ,267750000.0
"Kopernik Global Investors, LLC",Investment Advisor/Hedge Fund,13 Jun 2023,5.3594%,688018000.0,"60,591,900",LOW,E5H,Golden Agri-Res (E5H),"Food & Beverages, Food Processing",0.255,SGD ,175444590.0
First Fortuna Holdings Pte. Ltd.,Corporation,07 Apr 2022,6.2536%,150597000.0,0,-,E6R,Samko Timber (E6R),"Applied Resources, Forest & Wood Products",0.015,SGD ,2258955.0
Sunarko (Cindy),Individual Investor,07 Apr 2022,4.7811%,115136930.0,0,LOW,E6R,Samko Timber (E6R),"Applied Resources, Forest & Wood Products",0.015,SGD ,1727053.95
Temasek Holdings Pte. Ltd.,Sovereign Wealth Fund,07 Apr 2022,1.8593%,44774207.0,0,LOW,E6R,Samko Timber (E6R),"Applied Resources, Forest & Wood Products",0.015,SGD ,671613.105
Riko (Setyabudhy Handoko),Individual Investor,27 Jun 2022,1.5803%,38056990.0,"12,467,532",-,E6R,Samko Timber (E6R),"Applied Resources, Forest & Wood Products",0.015,SGD ,570854.85
Hasan Holdings Pte. Ltd.,Corporation,07 Apr 2022,1.1829%,28485846.0,"-5,360,500",-,E6R,Samko Timber (E6R),"Applied Resources, Forest & Wood Products",0.015,SGD ,427287.69
Joyas Investments Group Ltd.,Corporation,18 Mar 2022,38.0775%,842951466.0,0,-,E9L,Joyas Intl (E9L),"Banking & Investment Services, Corporate Financial Services",0.001,SGD ,842951.466
Reach Win Ltd.,Corporation,18 Mar 2022,25.2961%,560000000.0,0,-,E9L,Joyas Intl (E9L),"Banking & Investment Services, Corporate Financial Services",0.001,SGD ,560000.0
Cloud Network Holdings Limited,Corporation,18 Mar 2022,13.5515%,300000000.0,0,-,E9L,Joyas Intl (E9L),"Banking & Investment Services, Corporate Financial Services",0.001,SGD ,300000.0
Chuang (Fu-Yuan),Individual Investor,18 Mar 2022,1.7069%,37787300.0,"-552,100",-,E9L,Joyas Intl (E9L),"Banking & Investment Services, Corporate Financial Services",0.001,SGD ,37787.3
Lim (Mui Choo),Individual Investor,18 Mar 2022,0.9486%,21000000.0,0,-,E9L,Joyas Intl (E9L),"Banking & Investment Services, Corporate Financial Services",0.001,SGD ,21000.0
"Eight Capital, Inc.",Corporation,11 Mar 2022,65.9039%,1043966230.0,0,-,EB5,First Resources (EB5/FRLD.SI),"Food & Beverages, Food Processing",1.42,SGD ,1482432046.6
Fidelity Management &amp; Research Company LLC,Investment Advisor,10 Apr 2023,5.9357%,94026297.0,"-1,122,643",LOW,EB5,First Resources (EB5/FRLD.SI),"Food & Beverages, Food Processing",1.42,SGD ,133517341.74
"King Fortune International, Inc.",Corporation,11 Mar 2022,5.6173%,88982400.0,"982,400",-,EB5,First Resources (EB5/FRLD.SI),"Food & Beverages, Food Processing",1.42,SGD ,126355008.0
Employees Provident Fund (EPF),Investment Advisor,08 Oct 2021,4.9171%,77891100.0,"-4,091,800",LOW,EB5,First Resources (EB5/FRLD.SI),"Food & Beverages, Food Processing",1.42,SGD ,110605362.0
"Kopernik Global Investors, LLC",Investment Advisor/Hedge Fund,30 Apr 2023,1.7898%,28351100.0,0,LOW,EB5,First Resources (EB5/FRLD.SI),"Food & Beverages, Food Processing",1.42,SGD ,40258562.0
Changsheng Investment Development Limited,Corporation,02 Sep 2021,14.3708%,50000000.0,0,-,EB7,KTL Global (EB7),"Cyclical Consumer Services, Advertising & Marketing",0.116,SGD ,5800000.0
Wu (Yongqiang),Individual Investor,27 Jun 2022,11.5685%,40250000.0,0,-,EB7,KTL Global (EB7),"Cyclical Consumer Services, Advertising & Marketing",0.116,SGD ,4669000.0
Chin (Teck Oon),Individual Investor,10 Mar 2022,10.9218%,38000000.0,0,-,EB7,KTL Global (EB7),"Cyclical Consumer Services, Advertising & Marketing",0.116,SGD ,4408000.0
Tan (Tock Han),Individual Investor,02 Sep 2021,5.9471%,20691691.0,"16,800,000",-,EB7,KTL Global (EB7),"Cyclical Consumer Services, Advertising & Marketing",0.116,SGD ,2400236.156
Tan (Kim Tjio),Individual Investor,10 Mar 2022,5.0744%,17655300.0,"353,400",LOW,EB7,KTL Global (EB7),"Cyclical Consumer Services, Advertising & Marketing",0.116,SGD ,2048014.8
Kong (Chong Soon),Individual Investor,07 Jun 2023,43.3920%,672491662.0,"23,759,112",LOW,EH5,UOA (EH5),"Real Estate, Real Estate Development & Operations",0.48,SGD ,322795997.76
Griyajaya Sdn. Bhd.,Corporation,07 Jun 2023,32.5440%,504368799.0,"17,822,220",LOW,EH5,UOA (EH5),"Real Estate, Real Estate Development & Operations",0.48,SGD ,242097023.51999998
Kong (Pak Lim James),Individual Investor,07 Jun 2023,25.4703%,394739617.0,"12,056,085",LOW,EH5,UOA (EH5),"Real Estate, Real Estate Development & Operations",0.48,SGD ,189475016.16
Wismara Sdn Bhd,Corporation,21 Mar 2023,4.2095%,65239433.0,"1,462,525",LOW,EH5,UOA (EH5),"Real Estate, Real Estate Development & Operations",0.48,SGD ,31314927.84
Tan Sri Dato Seri Alwi Jantan,Individual Investor,21 Mar 2023,0.5490%,8508693.0,"190,747",LOW,EH5,UOA (EH5),"Real Estate, Real Estate Development & Operations",0.48,SGD ,4084172.6399999997
Ong (Chu Poh),Individual Investor,21 Jun 2022,80.5447%,207000000.0,0,-,EHG,Econ Healthcare (EHG),"Healthcare Services, Healthcare Facilities & Services",0.215,SGD ,44505000.0
iFAST Financial Pte. Ltd.,Corporation,21 Jun 2022,0.4501%,1156800.0,"-11,700",LOW,EHG,Econ Healthcare (EHG),"Healthcare Services, Healthcare Facilities & Services",0.215,SGD ,248712.0
Chong (Ngiet Fah),Individual Investor,21 Jun 2022,0.3891%,1000000.0,0,-,EHG,Econ Healthcare (EHG),"Healthcare Services, Healthcare Facilities & Services",0.215,SGD ,215000.0
Lam (Mee Lian),Individual Investor,21 Jun 2022,0.2010%,516600.0,"516,600",-,EHG,Econ Healthcare (EHG),"Healthcare Services, Healthcare Facilities & Services",0.215,SGD ,111069.0
Tan (Sien Chuan),Individual Investor,21 Jun 2022,0.1946%,500000.0,0,-,EHG,Econ Healthcare (EHG),"Healthcare Services, Healthcare Facilities & Services",0.215,SGD ,107500.0
Alliance Global Group Inc,Corporation,31 Mar 2023,79.4839%,12507960600.0,0,LOW,EMI,Emperador Inc. (EMI),"Food & Beverages, Distillers & Wineries",0.52,SGD ,6504139512.0
"The Vanguard Group, Inc.",Investment Advisor/Hedge Fund,31 May 2023,0.4459%,70171875.0,"2,115,179",LOW,EMI,Emperador Inc. (EMI),"Food & Beverages, Distillers & Wineries",0.52,SGD ,36489375.0
Emperador International Ltd,Corporation,31 Mar 2023,0.4161%,65479900.0,0,-,EMI,Emperador Inc. (EMI),"Food & Beverages, Distillers & Wineries",0.52,SGD ,34049548.0
State Street Global Advisors Singapore Ltd.,Investment Advisor,30 Apr 2023,0.0736%,11584481.0,"-48,001",LOW,EMI,Emperador Inc. (EMI),"Food & Beverages, Distillers & Wineries",0.52,SGD ,6023930.12
